#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:27:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551eab8420f3	
#INFO	-out.max=9999	
#INFO	queryParameters=16	
#-oc.form=sexa
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=Vmag
#Vmag=<4
#-out=SAO
#-out=HD
#-out=BFno
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	_RAJ2000	(A12)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A12)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	BFno	(a9)	Bayer or Flamsteed number	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
_RAJ2000	_DEJ2000	Vmag	SAO	HD	BFno	name
16 49 47.147	-59 02 29.13	 3.76	244168	151249	ETA   ARA	
16 50 09.820	-34 17 35.72	 2.29	208078	151680	EPS  SCO 	
16 51 52.235	-38 02 50.74	 3.08	208102	151890	MU1   SCO	
16 57 40.102	+09 22 30.09	 3.20	121962	153210	KAP  OPH 	
16 58 37.208	-55 59 24.51	 3.13	244315	152786	ZET  ARA 	
17 00 17.380	+30 55 35.10	 3.92	 65716	153808	EPS  HER 	
17 08 47.196	+65 42 52.79	 3.17	 17365	155763	ZET  DRA 	
17 12 09.209	-43 14 20.99	 3.33	227707	155203	ETA  SCO 	
17 15 01.911	+24 50 21.17	 3.14	 84951	156164	DEL  HER 	
17 15 02.839	+36 48 33.01	 3.16	 65890	156283	PI   HER 	
17 22 00.587	-24 59 58.25	 3.27	185320	157056	THE  OPH 	
17 25 17.999	-55 31 47.61	 2.85	244725	157244	BET  ARA 	
17 30 25.955	+52 18 05.12	 2.79	 30429	159181	BET  DRA 	RASTABAN
17 30 45.843	-37 17 45.03	 2.69	208896	158408	UPS  SCO 	LESATH
17 31 05.894	-60 41 01.69	 3.62	253945	158094	DEL  ARA 	
17 31 50.509	-49 52 34.29	 2.95	228069	158427	ALP  ARA 	
17 33 36.534	-37 06 13.72	 1.63	208954	158926	LAM  SCO 	SHAULA
17 34 56.076	+12 33 36.14	 2.08	102932	159561	ALP  OPH 	RASALHAGUE
17 37 19.151	-42 59 52.21	 1.87	228201	159532	THE  SCO 	
17 37 35.202	-15 23 54.78	 3.54	160700	159876	XI   SER 	
17 39 27.892	+46 00 22.90	 3.80	 46872	160762	IOT  HER 	
17 42 29.276	-39 01 48.09	 2.41	209163	160578	KAP  SCO 	
17 43 28.358	+04 34 02.26	 2.77	122671	161096	BET  OPH 	CEBALRAI
17 45 43.966	-64 43 25.77	 3.62	254020	160635	ETA  PAV 	
17 46 27.517	+27 43 14.35	 3.42	 85397	161797	MU   HER 	
17 47 35.085	-40 07 37.36	 3.03	228420	161471	IOT1 SCO 	
17 47 53.564	+02 42 26.19	 3.75	122754	161868	GAM  OPH 	
17 49 51.497	-37 02 35.85	 3.21	209318	161892	         	G SCO
17 53 31.725	+56 52 21.56	 3.75	 30631	163588	XI   DRA 	GRUMIUM
17 56 15.185	+37 15 01.90	 3.86	 66485	163770	THE  HER 	
17 56 36.367	+51 29 20.21	 2.23	 30653	164058	GAM  DRA 	ELTANIN
17 57 45.895	+29 14 52.46	 3.70	 85590	163993	XI   HER 	
17 59 01.598	-09 46 25.10	 3.34	142004	163917	NU   OPH 	
18 00 38.719	+02 55 53.60	 3.97	123013	164353	67   OPH 	
18 05 48.491	-30 25 26.69	 2.99	209696	165135	GAM  SGR 	ALNASL
18 06 37.864	-50 05 29.57	 3.66	245242	165024	THE   ARA	
18 07 20.988	+09 33 49.87	 3.73	123142	165777	72   OPH 	
18 07 32.555	+28 45 45.01	 3.83	 85750	166014	OMI  HER 	
18 13 45.812	-21 03 31.79	 3.86	186497	166937	MU   SGR 	
18 17 37.641	-36 45 42.15	 3.11	209957	167618	ETA  SGR 	
18 20 59.655	-29 49 41.33	 2.70	186681	168454	DEL  SGR 	KAUS MEDIA
18 21 03.381	+72 43 58.33	 3.57	  9087	170153	CHI  DRA 	
18 21 18.601	-02 53 55.74	 3.26	142241	168723	ETA  SER 	
18 23 41.889	+21 46 11.08	 3.84	 86003	169414	109  HER 	
18 24 10.327	-34 23 04.73	 1.85	210091	169022	EPS  SGR 	KAUS AUSTRALIS
18 26 58.421	-45 58 06.42	 3.51	229023	169467	ALP  TEL 	
18 27 58.246	-25 25 18.15	 2.81	186841	169916	LAM  SGR 	KAUS BOREALIS
18 35 12.436	-08 14 38.63	 3.85	142408	171443	ALP   SCT	
18 36 56.332	+38 47 01.17	 0.03	 67174	172167	ALP  LYR 	VEGA
18 45 39.389	-26 59 26.82	 3.17	187239	173300	PHI   SGR	
18 50 04.800	+33 21 45.65	 3.30	 67451	174638	BET  LYR 	SHELIAK
18 52 13.008	-62 11 15.36	 3.40	254393	173948	LAM  PAV 	
18 55 15.924	-26 17 48.23	 2.02	187448	175191	SIG  SGR 	NUNKI
18 55 20.111	+43 56 45.99	 3.90	 47919	175865	13   LYR 	R LYRAE
18 57 43.797	-21 06 23.97	 3.51	187504	175775	XI2  SGR 	
18 58 56.621	+32 41 22.42	 3.24	 67663	176437	GAM  LYR 	SULAFAT
19 05 24.611	+13 51 48.43	 2.99	104461	177724	ZET  AQL 	
19 06 14.941	-04 52 57.14	 3.44	143021	177756	LAM  AQL 	
19 06 56.415	-27 40 13.57	 3.32	187683	177716	TAU   SGR	
19 09 45.836	-21 01 25.06	 2.89	187756	178524	PI   SGR 	
19 12 33.285	+67 39 41.57	 3.07	 18222	180711	DEL  DRA 	ALTAIS
19 17 06.154	+53 22 06.54	 3.77	 31537	181276	KAP  CYG 	
19 23 53.168	-40 36 57.58	 3.97	229659	181869	ALP  SGR 	RUKBAT
19 25 29.904	+03 06 53.17	 3.36	124603	182640	DEL  AQL 	
19 29 42.349	+51 43 47.26	 3.79	 31702	184006	IOT  CYG 	
19 30 43.301	+27 57 34.83	 3.08	 87301	183912	BET  CYG 	ALBIREO
19 46 15.585	+10 36 47.77	 2.72	105223	186791	GAM  AQL 	TARAZED
19 47 23.270	+18 32 03.34	 3.82	105259	187076	DEL  SGE 	
19 50 47.002	+08 52 06.03	 0.77	125122	187642	ALP  AQL 	ALTAIR
19 52 28.374	+01 00 20.37	 3.50	125159	187929	ETA  AQL 	
19 55 18.799	+06 24 24.29	 3.71	125235	188512	BET  AQL 	ALSHAIN
19 56 18.376	+35 05 00.34	 3.89	 69116	188947	ETA  CYG 	
19 58 45.428	+19 29 31.79	 3.47	105500	189319	GAM  SGE 	
20 00 35.499	-72 54 37.82	 3.96	257757	188228	EPS  PAV 	
20 08 43.581	-66 10 55.45	 3.56	254733	190248	DEL  PAV 	
20 11 18.287	-00 49 17.30	 3.23	144150	191692	THE  AQL 	
20 13 37.904	+46 44 28.87	 3.79	 49337	192577	OMI1 CYG 	V695 CYG
20 18 03.262	-12 32 41.43	 3.57	163427	192947	ALP2 CAP 	ALGEDI
20 21 00.673	-14 46 52.99	 3.08	163481	193495	BET  CAP 	DABIH
20 22 13.704	+40 15 24.14	 2.20	 49528	194093	GAM  CYG 	SADR
20 25 38.852	-56 44 06.38	 1.94	246574	193924	ALP  PAV 	PEACOCK
20 37 34.044	-47 17 29.41	 3.11	230300	196171	ALP  IND 	
20 39 38.293	+15 54 43.29	 3.77	106357	196867	ALP  DEL 	
20 41 25.917	+45 16 49.31	 1.25	 49941	197345	ALP  CYG 	DENEB
20 44 57.470	-66 12 11.44	 3.42	254862	197051	BET  PAV 	
20 45 17.379	+61 50 19.65	 3.43	 19019	198149	7    CEP 	
20 46 12.684	+33 58 12.92	 2.46	 70474	197989	EPS  CYG 	
20 47 40.559	-09 29 44.74	 3.77	144810	198001	EPS  AQR 	ALBALI
20 54 48.583	-58 27 15.01	 3.65	246784	198700	BET  IND 	
20 57 10.418	+41 10 01.88	 3.94	 50274	199629	NU   CYG 	
21 04 55.864	+43 55 40.28	 3.72	 50424	200905	XI   CYG 	
21 12 56.185	+30 13 37.06	 3.20	 71070	202109	ZET  CYG 	
21 15 49.439	+05 14 52.25	 3.92	126662	202447	ALP  EQU 	KITALPHA
21 18 34.769	+62 35 08.08	 2.44	 19302	203280	ALP  CEP 	ALDERAMIN
21 26 40.034	-22 24 40.81	 3.74	190341	204075	ZET  CAP 	
21 28 39.600	+70 33 38.61	 3.23	 10057	205021	BET  CEP 	ALFIRK
21 31 33.538	-05 34 16.25	 2.91	145457	204867	BET  AQR 	SADALSUUD
21 40 05.457	-16 39 44.40	 3.68	164560	206088	GAM  CAP 	NASHIRA
21 41 28.548	-77 23 24.18	 3.76	257948	205478	NU   OCT 	
21 44 11.164	+09 52 29.92	 0.70	127029	206778	EPS  PEG 	ENIF
21 47 02.448	-16 07 38.27	 2.87	164644	207098	DEL  CAP 	DENEB ALGEDI
21 53 55.730	-37 21 53.60	 3.01	213374	207971	GAM  GRU 	
22 05 47.038	-00 19 11.47	 2.96	145862	209750	ALP  AQR 	SADALMELIK
22 07 00.673	+25 20 42.32	 3.76	 90238	210027	IOT  PEG 	
22 08 14.000	-46 57 39.59	 1.74	230992	209952	ALP  GRU 	AL NA'IR
22 10 11.987	+06 11 52.26	 3.53	127340	210418	THE  PEG 	BIHAM
22 10 51.285	+58 12 04.49	 3.35	 34137	210745	ZET  CEP 	
22 18 30.099	-60 15 34.59	 2.86	255193	211416	ALP  TUC 	
22 21 39.378	-01 23 14.44	 3.84	146044	212061	GAM  AQR 	SADACHBIA
22 29 10.266	+58 24 54.62	 3.75	 34508	213306	DEL  CEP 	
22 29 16.185	-43 29 44.13	 3.97	231154	213009	DEL1 GRU 	
22 31 17.497	+50 16 57.05	 3.77	 34542	213558	ALP  LAC 	
22 41 27.731	+10 49 52.85	 3.40	108103	214923	ZET  PEG 	HOMAM
22 42 40.063	-46 53 04.69	 2.11	231258	214952	BET  GRU 	
22 43 00.143	+30 13 16.52	 2.94	 90734	215182	ETA  PEG 	MATAR
22 46 31.883	+23 33 56.35	 3.95	 90775	215665	LAM  PET 	
22 48 33.301	-51 19 00.74	 3.49	247593	215789	EPS  GRU 	
22 49 40.821	+66 12 01.51	 3.52	 20268	216228	IOT  CEP 	
22 50 00.201	+24 36 05.71	 3.48	 90816	216131	MU   PEG 	SADALBARI
22 52 36.862	-07 34 46.60	 3.74	146362	216386	LAM  AQR 	
22 54 39.017	-15 49 14.95	 3.27	165375	216627	DEL  AQR 	SKAT
22 57 39.055	-29 37 20.10	 1.16	191524	216956	ALP  PSA 	FOMALHAUT
23 01 55.267	+42 19 33.50	 3.62	 52609	217675	OMI  AND 	
23 03 46.464	+28 04 58.10	 2.42	 90981	217906	BET  PEG 	SCHEAT
23 04 45.658	+15 12 18.90	 2.49	108378	218045	ALP  PEG 	MARKAB
23 09 26.801	-21 10 20.63	 3.66	191683	218594	88   AQR 	
23 10 21.554	-45 14 48.26	 3.90	231468	218670	IOT  GRU 	
23 17 09.943	+03 16 56.18	 3.69	128085	219615	GAM  PSC 	
23 17 25.767	-58 14 08.62	 3.99	247814	219571	GAM  TUC 	
23 22 58.226	-20 06 01.99	 3.97	191858	220321	98   AQR 	
23 37 33.854	+46 27 29.43	 3.82	 53204	222107	LAM  AND 	
23 39 20.824	+77 37 56.80	 3.21	 10818	222404	GAM  CEP 	ERRAI

